Gender,Age Range,Ethnicity,Department,Education Level,Years of Experience,Performance Score,Training Participation,Support for Diversity Initiatives,Experienced Workplace Bias,Projects Handled,Overtime Hours,Promotion Status
Male,50-59,Black,Marketing,PhD,26,60,Yes,Yes,No,9,14,Yes
Male,30-39,White,IT,Bachelor,2,90,Yes,Yes,No,14,9,No
Female,30-39,Black,HR,Bachelor,26,70,Yes,Yes,Yes,7,20,No
Male,50-59,Asian,IT,Master,4,85,No,No,Yes,11,27,Yes
Male,30-39,Black,HR,Bachelor,3,95,No,No,Yes,10,6,Yes
Male,40-49,Hispanic,IT,PhD,7,95,Yes,No,No,10,25,Yes
Female,20-29,Black,Marketing,PhD,24,80,Yes,Yes,No,8,2,No
Female,20-29,Asian,Marketing,Bachelor,18,60,No,No,Yes,14,1,No
Female,20-29,Hispanic,HR,Master,10,80,Yes,Yes,Yes,6,5,No
Female,20-29,Black,IT,Master,7,70,Yes,No,No,12,20,No
Female,50-59,Black,HR,Bachelor,8,70,No,Yes,No,14,8,No
Male,20-29,Hispanic,Marketing,Master,6,80,No,No,No,11,9,Yes
Female,20-29,White,IT,Master,22,85,No,No,No,14,3,No
Male,20-29,Hispanic,IT,Master,26,70,Yes,Yes,Yes,5,26,No
Male,20-29,White,HR,PhD,1,80,Yes,No,No,8,2,No
Female,40-49,Asian,Finance,PhD,4,60,Yes,No,No,3,8,No
Female,20-29,Asian,HR,Bachelor,14,80,Yes,Yes,Yes,12,23,No
Male,40-49,Hispanic,Marketing,PhD,17,80,No,Yes,Yes,13,21,Yes
Male,50-59,Hispanic,Marketing,Master,20,90,Yes,Yes,No,13,16,Yes
Male,30-39,Asian,Marketing,PhD,18,70,Yes,Yes,Yes,7,13,Yes
Female,20-29,White,Marketing,Bachelor,11,85,No,Yes,No,2,9,No
Female,30-39,Asian,Marketing,PhD,29,85,No,No,No,3,12,No
Female,30-39,Hispanic,Finance,Master,21,90,Yes,Yes,Yes,13,11,No
Female,50-59,Asian,IT,Master,26,95,No,No,Yes,12,26,No
Female,30-39,Hispanic,HR,Bachelor,14,85,No,No,No,2,0,Yes
Male,40-49,Hispanic,HR,PhD,9,80,Yes,Yes,Yes,5,27,Yes
Female,30-39,Asian,Marketing,PhD,27,90,Yes,No,No,7,21,No
Male,30-39,White,HR,PhD,15,60,Yes,No,No,11,28,Yes
Male,30-39,Black,Marketing,Master,12,70,Yes,Yes,No,10,18,Yes
Male,20-29,Asian,Finance,Bachelor,10,70,No,No,Yes,11,18,Yes
Female,20-29,Black,Finance,PhD,19,70,No,Yes,No,11,5,No
Female,40-49,Asian,IT,Master,24,80,Yes,Yes,No,11,12,No
Female,40-49,Black,Finance,Master,19,60,Yes,Yes,No,10,18,No
Male,20-29,White,Finance,Master,6,90,No,No,Yes,13,12,Yes
Male,40-49,White,IT,PhD,20,90,Yes,No,No,14,26,Yes
Male,20-29,Asian,HR,PhD,24,70,Yes,No,No,1,25,Yes
Male,50-59,Hispanic,Marketing,PhD,27,60,Yes,No,No,13,21,Yes
Male,30-39,Black,Marketing,PhD,6,60,Yes,Yes,Yes,10,20,Yes
Male,30-39,Hispanic,HR,PhD,8,60,No,No,No,9,3,Yes
Female,40-49,Hispanic,IT,PhD,1,85,Yes,Yes,No,1,23,No
Female,20-29,Hispanic,HR,PhD,22,85,No,No,Yes,1,1,Yes
Female,20-29,White,Finance,PhD,17,70,Yes,No,Yes,14,14,No
Female,40-49,Asian,IT,PhD,17,60,Yes,No,No,12,11,No
Male,20-29,Asian,IT,Master,24,95,No,No,No,10,29,Yes
Male,50-59,White,IT,PhD,15,60,Yes,No,No,8,26,Yes
Female,30-39,White,Marketing,Bachelor,7,90,No,Yes,Yes,6,6,No
Male,40-49,Asian,HR,Master,19,90,Yes,No,Yes,6,19,Yes
Female,40-49,Hispanic,IT,PhD,22,70,Yes,No,No,12,17,No
Female,20-29,Black,IT,Bachelor,25,95,Yes,No,Yes,9,22,Yes
Female,40-49,Black,IT,PhD,23,60,Yes,No,No,4,12,No
Male,50-59,Black,HR,Bachelor,28,95,Yes,Yes,No,8,16,Yes
Female,20-29,Hispanic,Marketing,Bachelor,3,70,No,No,Yes,4,3,No
Female,20-29,Asian,Finance,Bachelor,30,90,No,Yes,No,14,24,No
Female,20-29,White,Marketing,Bachelor,30,90,Yes,No,Yes,2,13,No
Male,20-29,Asian,IT,Master,29,85,Yes,Yes,Yes,11,19,Yes
Male,50-59,Hispanic,Marketing,Master,22,70,No,Yes,No,8,27,Yes
Female,20-29,White,Marketing,Bachelor,11,70,No,Yes,Yes,12,12,No
Male,40-49,Hispanic,Finance,PhD,20,60,Yes,Yes,No,7,2,Yes
Male,50-59,Black,HR,Bachelor,30,60,Yes,Yes,Yes,4,25,Yes
Male,30-39,Black,HR,Master,29,85,No,No,No,9,25,Yes
Male,30-39,Hispanic,Marketing,PhD,19,80,Yes,Yes,No,9,17,Yes
Male,40-49,White,Marketing,Master,9,95,No,No,No,8,13,Yes
Male,40-49,White,HR,Master,10,80,Yes,Yes,Yes,14,14,Yes
Male,50-59,Asian,HR,PhD,2,80,No,Yes,No,1,2,Yes
Male,30-39,Black,Finance,Bachelor,1,70,No,No,Yes,7,0,Yes
Male,30-39,Asian,IT,Bachelor,30,95,Yes,Yes,Yes,5,25,Yes
Male,30-39,Asian,Marketing,Bachelor,16,70,No,Yes,Yes,7,23,Yes
Female,30-39,Hispanic,HR,Bachelor,18,95,Yes,Yes,Yes,12,16,No
Female,30-39,Hispanic,Marketing,PhD,23,90,Yes,Yes,Yes,9,2,No
Male,20-29,Asian,Marketing,PhD,26,70,Yes,No,No,2,13,Yes
Female,40-49,Black,HR,PhD,17,70,Yes,Yes,Yes,13,2,No
Female,20-29,Hispanic,Finance,Master,6,70,No,Yes,No,14,12,No
Male,30-39,Asian,Marketing,PhD,14,85,Yes,No,No,11,14,Yes
Male,50-59,Asian,Finance,Bachelor,23,70,Yes,No,Yes,4,17,Yes
